agents/scripts/core/tail-agent.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-adapter-drift.sh	-	agents/	layer-only
agents/scripts/core/test-agent-build-facts.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-agent-contract.sh	Source/	AGENTS.md,agents/,docs/agent-rules/	dual
agents/scripts/core/test-agent-discovery-fixture.sh	-	agents/	layer-only
agents/scripts/core/test-agent-size-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-archive-backlog-entry-bats.sh	-	-	self-locating
agents/scripts/core/test-archive-plan.sh	docs/plans/	agents/	dual
agents/scripts/core/test-autonomous-debug-loop.sh	Source/	agents/	dual
agents/scripts/core/test-backlog-counts.sh	docs/plans/,docs/self-improvement/	agents/	dual
agents/scripts/core/test-bats-ascii-names.sh	-	agents/	layer-only
agents/scripts/core/test-capture-intent-bats.sh	-	AGENTS.md,agents/,docs/harness/	layer-only
agents/scripts/core/test-coderabbit-triage-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-comment-tooling.sh	-	-	self-locating
agents/scripts/core/test-config-globs.sh	project.config.json	AGENTS.md	dual
agents/scripts/core/test-cost-ceiling-check.sh	-	agents/	layer-only
agents/scripts/core/test-coverage-gate-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-cr-oob-review-backfill-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-dead-export-audit-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-dead-export-audit.sh	Source/	agents/	dual
agents/scripts/core/test-delta-gate-base-ref-fetch-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-doc-anchors.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-doctor-tier-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-dup-audit-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-fail-open-authoring-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-fail-open-authoring.sh	Source/,docs/self-improvement/	agents/	dual
agents/scripts/core/test-fleet-preflight-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-fleet-rescope-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-followup-due-nudge-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-function-size-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-fuzz-closure-audit-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-gate-selftests-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-gate-selftests.sh	-	agents/	layer-only
agents/scripts/core/test-git-janitor-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-git-leftover-audit-bats.sh	-	-	self-locating
agents/scripts/core/test-guard-head-drift-bats.sh	-	AGENTS.md,docs/harness/	layer-only
agents/scripts/core/test-guard-plan-lock-bats.sh	-	AGENTS.md,docs/harness/	layer-only
agents/scripts/core/test-guard-shared-tree-bats.sh	-	AGENTS.md,docs/harness/	layer-only
agents/scripts/core/test-harness-provisioned-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-historical-review-ledger-reconcile-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-historical-review-survivors-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-include-cycle-audit-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-is-pure-docs-diff-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-issue-sweep-bats.sh	-	-	self-locating
agents/scripts/core/test-leaf-doc-discovery.sh	Source/,docs/plans/	AGENTS.md,docs/harness/	dual
agents/scripts/core/test-lint-bash.sh	-	AGENTS.md,agents/,docs/harness/	layer-only
agents/scripts/core/test-lint-drain-delta.sh	-	docs/harness/	layer-only
agents/scripts/core/test-lint-hook-split.sh	docs/self-improvement/	agents/,docs/harness/	dual
agents/scripts/core/test-lock-claim-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-lock-cleanup-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-lock-primitives-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-lock-primitives.sh	Source/,docs/plans/,project.config.json	agents/	dual
agents/scripts/core/test-lock-staleness-sweep-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-markdown-links-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-markdown-links.sh	Source/,docs/plans/,docs/self-improvement/	AGENTS.md,agents/	dual
agents/scripts/core/test-merge-gates.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-merge-watcher-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-merge-watcher-integration-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-oob-label-impl-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-oob-label-impl.sh	-	AGENTS.md,agents/,docs/agent-rules/	layer-only
agents/scripts/core/test-orphan-bats.sh	-	agents/	layer-only
agents/scripts/core/test-p4-mirror-bootstrap-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-panel-verdicts-bats.sh	docs/plans/	AGENTS.md,agents/	dual
agents/scripts/core/test-plan-archival-owed-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-plan-claim-anchors.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-plan-doc-table-probe.sh	Source/,docs/plans/	agents/	dual
agents/scripts/core/test-plan-index-robustness-bats.sh	-	AGENTS.md	layer-only
agents/scripts/core/test-plan-index.sh	docs/plans/	agents/	dual
agents/scripts/core/test-plan-lock-gate-bats.sh	-	AGENTS.md,agents/	layer-only
agents/scripts/core/test-plan-naming.sh	docs/plans/	-	host-only
agents/scripts/core/test-plan-ref-integrity.sh	docs/plans/,docs/self-improvement/	agents/	dual
agents/scripts/core/test-portable-agent-vexp.sh	-	AGENTS.md,agents/	layer-only
